#lRMS=0.0001856670424 iRMS=2.672614937e-05 0
#    lk   ukf_o9v   uks_o9v        fh       fse        fd         fl
#
 4490.0  2.302745  0.000000  2.302745  0.000000  0.000000  0.000000
 4495.0  2.295157  0.000000  2.295157  0.000000  0.000000  0.000000
 4500.0  2.282541  0.000000  2.282541  0.000000  0.000000  0.000000
 4505.0  2.260535  0.000000  2.260535  0.000000  0.000000  0.000000
 4510.0  2.231165  0.000000  2.231165  0.000000  0.000000  0.000000
 4515.0  2.217782  0.000000  2.217782  0.000000  0.000000  0.000000
 4520.0  2.243479  0.000000  2.243479  0.000000  0.000000  0.000000
 4525.0  2.230242  0.000000  2.230242  0.000000  0.000000  0.000000
 4530.0  2.197246  0.000000  2.197246  0.000000  0.000000  0.000000
 4535.0  2.176526  0.000000  2.176526  0.000000  0.000000  0.000000
 4540.0  2.110006  0.000000  2.110006  0.000000  0.000000  0.000000
 4545.0  2.131759  0.000000  2.131759  0.000000  0.000000  0.000000
 4550.0  2.178455  0.000000  2.178455  0.000000  0.000000  0.000000
 4555.0  2.193279  0.000000  2.193279  0.000000  0.000000  0.000000
 4560.0  2.194759  0.000000  2.194759  0.000000  0.000000  0.000000
 4565.0  2.179631  0.000000  2.179631  0.000000  0.000000  0.000000
 4570.0  2.168025  0.000000  2.168025  0.000000  0.000000  0.000000
 4575.0  2.158021  0.000000  2.158021  0.000000  0.000000  0.000000
 4580.0  2.156521  0.000000  2.156521  0.000000  0.000000  0.000000
 4585.0  2.144668  0.000000  2.144668  0.000000  0.000000  0.000000
 4590.0  2.127295  0.000000  2.127295  0.000000  0.000000  0.000000
 4595.0  2.113983  0.000000  2.113983  0.000000  0.000000  0.000000
 4600.0  2.110371  0.000000  2.110371  0.000000  0.000000  0.000000
 4605.0  2.100893  0.000000  2.100893  0.000000  0.000000  0.000000
 4610.0  2.115777  0.000000  2.115777  0.000000  0.000000  0.000000
 4615.0  2.113995  0.000000  2.113995  0.000000  0.000000  0.000000
 4620.0  2.104079  0.000000  2.104079  0.000000  0.000000  0.000000
 4625.0  2.081575  0.000000  2.081575  0.000000  0.000000  0.000000
 4630.0  2.046628  0.000000  2.046628  0.000000  0.000000  0.000000
 4635.0  2.037228  0.000000  2.037228  0.000000  0.000000  0.000000
 4640.0  2.035232  0.000000  2.035232  0.000000  0.000000  0.000000
 4645.0  1.989615  0.000000  1.989615  0.000000  0.000000  0.000000
 4650.0  1.955944  0.000000  1.955944  0.000000  0.000000  0.000000
 4655.0  2.011688  0.000000  2.011688  0.000000  0.000000  0.000000
 4660.0  2.044791  0.000000  2.044791  0.000000  0.000000  0.000000
 4665.0  2.030337  0.000000  2.030337  0.000000  0.000000  0.000000
 4670.0  2.011102  0.000000  2.011102  0.000000  0.000000  0.000000
 4675.0  2.005546  0.000000  2.005546  0.000000  0.000000  0.000000
 4680.0  1.946633  0.000000  1.946633  0.000000  0.000000  0.000000
 4685.0  1.871869  0.000000  1.871869  0.000000  0.000000  0.000000
 4690.0  1.915352  0.000000  1.915352  0.000000  0.000000  0.000000
 4695.0  1.975508  0.000000  1.975508  0.000000  0.000000  0.000000
 4700.0  1.969899  0.000000  1.969899  0.000000  0.000000  0.000000
 4705.0  1.972119  0.000000  1.972119  0.000000  0.000000  0.000000
 4710.0  1.943720  0.000000  1.943720  0.000000  0.000000  0.000000
 4715.0  1.929907  0.000000  1.929907  0.000000  0.000000  0.000000
 4720.0  1.928491  0.000000  1.928491  0.000000  0.000000  0.000000
 4725.0  1.910281  0.000000  1.910281  0.000000  0.000000  0.000000
 4730.0  1.920358  0.000000  1.920358  0.000000  0.000000  0.000000
 4735.0  1.919759  0.000000  1.919759  0.000000  0.000000  0.000000
 4740.0  1.918367  0.000000  1.918367  0.000000  0.000000  0.000000
 4745.0  1.909747  0.000000  1.909747  0.000000  0.000000  0.000000
 4750.0  1.897803  0.000000  1.897803  0.000000  0.000000  0.000000
 4755.0  1.876648  0.000000  1.876648  0.000000  0.000000  0.000000
 4760.0  1.865566  0.000000  1.865566  0.000000  0.000000  0.000000
 4765.0  1.864982  0.000000  1.864982  0.000000  0.000000  0.000000
 4770.0  1.867391  0.000000  1.867391  0.000000  0.000000  0.000000
 4775.0  1.846382  0.000000  1.846382  0.000000  0.000000  0.000000
 4780.0  1.831580  0.000000  1.831580  0.000000  0.000000  0.000000
 4785.0  1.839038  0.000000  1.839038  0.000000  0.000000  0.000000
 4790.0  1.835569  0.000000  1.835569  0.000000  0.000000  0.000000
 4795.0  1.837627  0.000000  1.837627  0.000000  0.000000  0.000000
 4800.0  1.824876  0.000000  1.824876  0.000000  0.000000  0.000000
 4805.0  1.814034  0.000000  1.814034  0.000000  0.000000  0.000000
 4810.0  1.816770  0.000000  1.816770  0.000000  0.000000  0.000000
 4815.0  1.800140  0.000000  1.800140  0.000000  0.000000  0.000000
 4820.0  1.787754  0.000000  1.787754  0.000000  0.000000  0.000000
 4825.0  1.779593  0.000000  1.779593  0.000000  0.000000  0.000000
 4830.0  1.782073  0.000000  1.782073  0.000000  0.000000  0.000000
 4835.0  1.790881  0.000000  1.790881  0.000000  0.000000  0.000000
 4840.0  1.782617  0.000000  1.782617  0.000000  0.000000  0.000000
 4845.0  1.753371  0.000000  1.753371  0.000000  0.000000  0.000000
 4850.0  1.695905  0.000000  1.695905  0.000000  0.000000  0.000000
 4855.0  1.554173  0.000000  1.554173  0.000000  0.000000  0.000000
 4860.0  1.375898  0.000000  1.375898  0.000000  0.000000  0.000000
 4865.0  1.447682  0.000000  1.447682  0.000000  0.000000  0.000000
 4870.0  1.596848  0.000000  1.596848  0.000000  0.000000  0.000000
 4875.0  1.630112  0.000000  1.630112  0.000000  0.000000  0.000000
 4880.0  1.637928  0.000000  1.637928  0.000000  0.000000  0.000000
 4885.0  1.654759  0.000000  1.654759  0.000000  0.000000  0.000000
 4890.0  1.680660  0.000000  1.680660  0.000000  0.000000  0.000000
