#lRMS=0.003538307967 iRMS=0.0001371480321 0
#    lk   ukf_g8v   uks_g8v        fh       fse        fl         fd
#
 3885.0  0.396280  0.051593  0.396280  0.000000  0.000000  0.000000
 3890.0  0.444656  0.026111  0.444656  0.000000  0.000000  0.000000
 3895.0  0.480743  0.013191  0.480743  0.000000  0.000000  0.000000
 3900.0  0.481662  0.020829  0.481662  0.000000  0.000000  0.000000
 3905.0  0.491030  0.033497  0.491030  0.000000  0.000000  0.000000
 3910.0  0.521500  0.025095  0.521500  0.000000  0.000000  0.000000
 3915.0  0.498749  0.038189  0.498749  0.000000  0.000000  0.000000
 3920.0  0.416286  0.039267  0.416286  0.000000  0.000000  0.000000
 3925.0  0.330153  0.025344  0.330153  0.000000  0.000000  0.000000
 3930.0  0.249649  0.031522  0.249649  0.000000  0.000000  0.000000
 3935.0  0.251894  0.047747  0.251894  0.000000  0.000000  0.000000
 3940.0  0.328631  0.032352  0.328631  0.000000  0.000000  0.000000
 3945.0  0.412932  0.021295  0.412932  0.000000  0.000000  0.000000
 3950.0  0.481820  0.039465  0.481820  0.000000  0.000000  0.000000
 3955.0  0.483428  0.038369  0.483428  0.000000  0.000000  0.000000
 3960.0  0.405452  0.017083  0.405452  0.000000  0.000000  0.000000
 3965.0  0.301730  0.044201  0.301730  0.000000  0.000000  0.000000
 3970.0  0.303758  0.049059  0.303758  0.000000  0.000000  0.000000
 3975.0  0.448594  0.032925  0.448594  0.000000  0.000000  0.000000
 3980.0  0.599719  0.034915  0.599719  0.000000  0.000000  0.000000
 3985.0  0.672097  0.035422  0.672097  0.000000  0.000000  0.000000
 3990.0  0.703649  0.027932  0.703649  0.000000  0.000000  0.000000
 3995.0  0.717242  0.029999  0.717242  0.000000  0.000000  0.000000
 4000.0  0.736342  0.019778  0.736342  0.000000  0.000000  0.000000
 4005.0  0.747344  0.021976  0.747344  0.000000  0.000000  0.000000
 4010.0  0.765720  0.023952  0.765720  0.000000  0.000000  0.000000
 4015.0  0.785363  0.021064  0.785363  0.000000  0.000000  0.000000
 4020.0  0.786290  0.023181  0.786290  0.000000  0.000000  0.000000
 4025.0  0.770240  0.021434  0.770240  0.000000  0.000000  0.000000
 4030.0  0.731278  0.030948  0.731278  0.000000  0.000000  0.000000
 4035.0  0.742440  0.029754  0.742440  0.000000  0.000000  0.000000
 4040.0  0.759026  0.023071  0.759026  0.000000  0.000000  0.000000
 4045.0  0.711185  0.058468  0.711185  0.000000  0.000000  0.000000
 4050.0  0.725717  0.019189  0.725717  0.000000  0.000000  0.000000
 4055.0  0.715962  0.026782  0.715962  0.000000  0.000000  0.000000
 4060.0  0.692158  0.040388  0.692158  0.000000  0.000000  0.000000
 4065.0  0.694631  0.050949  0.694631  0.000000  0.000000  0.000000
 4070.0  0.716948  0.052116  0.716948  0.000000  0.000000  0.000000
 4075.0  0.732662  0.061030  0.732662  0.000000  0.000000  0.000000
 4080.0  0.777227  0.046311  0.777227  0.000000  0.000000  0.000000
 4085.0  0.839110  0.020258  0.839110  0.000000  0.000000  0.000000
 4090.0  0.854782  0.014664  0.854782  0.000000  0.000000  0.000000
 4095.0  0.799105  0.033477  0.799105  0.000000  0.000000  0.000000
 4100.0  0.748122  0.052497  0.748122  0.000000  0.000000  0.000000
 4105.0  0.770716  0.053159  0.770716  0.000000  0.000000  0.000000
 4110.0  0.816714  0.055799  0.816714  0.000000  0.000000  0.000000
 4115.0  0.836668  0.054185  0.836668  0.000000  0.000000  0.000000
 4120.0  0.826768  0.050906  0.826768  0.000000  0.000000  0.000000
 4125.0  0.806428  0.041761  0.806428  0.000000  0.000000  0.000000
 4130.0  0.773638  0.057325  0.773638  0.000000  0.000000  0.000000
 4135.0  0.777424  0.051422  0.777424  0.000000  0.000000  0.000000
 4140.0  0.781638  0.057134  0.781638  0.000000  0.000000  0.000000
 4145.0  0.771624  0.078431  0.771624  0.000000  0.000000  0.000000
 4150.0  0.783172  0.074391  0.783172  0.000000  0.000000  0.000000
 4155.0  0.791381  0.076505  0.791381  0.000000  0.000000  0.000000
 4160.0  0.812194  0.057771  0.812194  0.000000  0.000000  0.000000
 4165.0  0.806711  0.046095  0.806711  0.000000  0.000000  0.000000
 4170.0  0.776054  0.062768  0.776054  0.000000  0.000000  0.000000
 4175.0  0.754977  0.079284  0.754977  0.000000  0.000000  0.000000
 4180.0  0.761524  0.064358  0.761524  0.000000  0.000000  0.000000
 4185.0  0.764972  0.056282  0.764972  0.000000  0.000000  0.000000
 4190.0  0.765276  0.043581  0.765276  0.000000  0.000000  0.000000
 4195.0  0.745734  0.050882  0.745734  0.000000  0.000000  0.000000
 4200.0  0.730716  0.070670  0.730716  0.000000  0.000000  0.000000
 4205.0  0.776630  0.048720  0.776630  0.000000  0.000000  0.000000
 4210.0  0.811028  0.032508  0.811028  0.000000  0.000000  0.000000
 4215.0  0.806350  0.030154  0.806350  0.000000  0.000000  0.000000
