#iRMS=3.888022911e-05 0
#    lk   ukf_a7v   uks_a7v        fh        fse
#
 4730.0  1.414327  0.053245  1.414327  0.000000
 4735.0  1.412565  0.053690  1.412565  0.000000
 4740.0  1.416868  0.048359  1.416868  0.000000
 4745.0  1.418744  0.042596  1.418744  0.000000
 4750.0  1.416939  0.043061  1.416939  0.000000
 4755.0  1.402030  0.040692  1.402030  0.000000
 4760.0  1.383238  0.038318  1.383238  0.000000
 4765.0  1.361755  0.033630  1.361755  0.000000
 4770.0  1.376467  0.035969  1.376467  0.000000
 4775.0  1.385388  0.047408  1.385388  0.000000
 4780.0  1.370457  0.037208  1.370457  0.000000
 4785.0  1.372712  0.036183  1.372712  0.000000
 4790.0  1.374349  0.037252  1.374349  0.000000
 4795.0  1.385144  0.039708  1.385144  0.000000
 4800.0  1.367292  0.042672  1.367292  0.000000
 4805.0  1.340926  0.039791  1.340926  0.000000
 4810.0  1.332916  0.028103  1.332916  0.000000
 4815.0  1.336217  0.024876  1.336217  0.000000
 4820.0  1.310266  0.036814  1.310266  0.000000
 4825.0  1.279460  0.026108  1.279460  0.000000
 4830.0  1.267895  0.028014  1.267895  0.000000
 4835.0  1.242022  0.025521  1.242022  0.000000
 4840.0  1.185734  0.022277  1.185734  0.000000
 4845.0  1.116555  0.012590  1.116555  0.000000
 4850.0  1.008322  0.005200  1.008322  0.000000
 4855.0  0.841245  0.007686  0.841245  0.000000
 4860.0  0.675744  0.007961  0.675744  0.000000
 4865.0  0.736886  0.048791  0.736886  0.000000
 4870.0  0.907741  0.033507  0.907741  0.000000
 4875.0  1.018092  0.020315  1.018092  0.000000
 4880.0  1.102300  0.020919  1.102300  0.000000
 4885.0  1.142862  0.022398  1.142862  0.000000
 4890.0  1.180483  0.033585  1.180483  0.000000
 4895.0  1.229114  0.038208  1.229114  0.000000
 4900.0  1.252460  0.032689  1.252460  0.000000
 4905.0  1.252643  0.026830  1.252643  0.000000
 4910.0  1.265742  0.028520  1.265742  0.000000
 4915.0  1.274096  0.044087  1.274096  0.000000
 4920.0  1.241778  0.039922  1.241778  0.000000
 4925.0  1.249491  0.036078  1.249491  0.000000
 4930.0  1.281340  0.039981  1.281340  0.000000
 4935.0  1.273950  0.039282  1.273950  0.000000
 4940.0  1.289674  0.034846  1.289674  0.000000
 4945.0  1.303425  0.031867  1.303425  0.000000
 4950.0  1.301126  0.041453  1.301126  0.000000
 4955.0  1.281212  0.039735  1.281212  0.000000
 4960.0  1.268732  0.035081  1.268732  0.000000
 4965.0  1.280921  0.027745  1.280921  0.000000
 4970.0  1.282173  0.018594  1.282173  0.000000
 4975.0  1.275551  0.016885  1.275551  0.000000
 4980.0  1.251746  0.017525  1.251746  0.000000
 4985.0  1.242067  0.022966  1.242067  0.000000
 4990.0  1.256729  0.023006  1.256729  0.000000
 4995.0  1.260139  0.021415  1.260139  0.000000
 5000.0  1.244927  0.024767  1.244927  0.000000
 5005.0  1.223047  0.012987  1.223047  0.000000
 5010.0  1.223561  0.017659  1.223561  0.000000
 5015.0  1.201622  0.017488  1.201622  0.000000
 5020.0  1.186188  0.016224  1.186188  0.000000
 5025.0  1.219161  0.014086  1.219161  0.000000
 5030.0  1.231973  0.020385  1.231973  0.000000
 5035.0  1.233895  0.029784  1.233895  0.000000
 5040.0  1.216132  0.022090  1.216132  0.000000
 5045.0  1.221168  0.022532  1.221168  0.000000
 5050.0  1.218071  0.015058  1.218071  0.000000
 5055.0  1.218194  0.011484  1.218194  0.000000
 5060.0  1.231200  0.022907  1.231200  0.000000
 5065.0  1.225964  0.020747  1.225964  0.000000
 5070.0  1.214367  0.016272  1.214367  0.000000
 5075.0  1.204701  0.019181  1.204701  0.000000
 5080.0  1.200419  0.018862  1.200419  0.000000
 5085.0  1.210780  0.023608  1.210780  0.000000
 5090.0  1.225511  0.026656  1.225511  0.000000
 5095.0  1.214871  0.026656  1.214871  0.000000
 5100.0  1.205954  0.026997  1.205954  0.000000
 5105.0  1.214035  0.031219  1.214035  0.000000
 5110.0  1.218426  0.030573  1.218426  0.000000
 5115.0  1.224437  0.033640  1.224437  0.000000
 5120.0  1.207833  0.022806  1.207833  0.000000
 5125.0  1.187786  0.022925  1.187786  0.000000
 5130.0  1.176711  0.021031  1.176711  0.000000
 5135.0  1.172350  0.018162  1.172350  0.000000
 5140.0  1.167771  0.021415  1.167771  0.000000
 5145.0  1.177401  0.016796  1.177401  0.000000
 5150.0  1.173500  0.015736  1.173500  0.000000
 5155.0  1.170722  0.013324  1.170722  0.000000
 5160.0  1.166673  0.014934  1.166673  0.000000
 5165.0  1.117994  0.016312  1.117994  0.000000
 5170.0  1.084322  0.016706  1.084322  0.000000
 5175.0  1.133774  0.025310  1.133774  0.000000
 5180.0  1.147477  0.022468  1.147477  0.000000
 5185.0  1.114436  0.020726  1.114436  0.000000
 5190.0  1.111306  0.022405  1.111306  0.000000
 5195.0  1.122861  0.010910  1.122861  0.000000
 5200.0  1.122030  0.010651  1.122030  0.000000
 5205.0  1.116093  0.010316  1.116093  0.000000
 5210.0  1.124048  0.017841  1.124048  0.000000
 5215.0  1.137897  0.011664  1.137897  0.000000
 5220.0  1.141544  0.015138  1.141544  0.000000
 5225.0  1.112681  0.012731  1.112681  0.000000
 5230.0  1.093672  0.008886  1.093672  0.000000
 5235.0  1.100197  0.010184  1.100197  0.000000
 5240.0  1.120376  0.011688  1.120376  0.000000
